scenariu,sectiune,mod,imagini,imagini_cu_detectie,det_scenariu_total,det_medii,confidence_medie,preprocess_ms,inferenta_ms,total_ms,fps_mediu
persoane,5.7.1,CPU,100,64,109,1.09,0.683,0.34,33.27,33.61,29.75
persoane,5.7.1,CPU+FPGA,100,64,109,1.09,0.683,61.1,31.41,92.5,10.81
vehicule,5.7.2,CPU,100,49,64,0.64,0.612,0.33,31.34,31.66,31.58
vehicule,5.7.2,CPU+FPGA,100,49,64,0.64,0.612,61.13,31.64,92.77,10.78
animale,5.7.3,CPU,100,18,20,0.2,0.686,0.33,30.94,31.27,31.98
animale,5.7.3,CPU+FPGA,100,18,20,0.2,0.686,61.13,30.47,91.6,10.92
semne,5.7.4,CPU,100,42,56,0.56,0.747,0.31,29.78,30.1,33.23
semne,5.7.4,CPU+FPGA,100,42,56,0.56,0.747,61.11,30.71,91.82,10.89
